ProjectCode,ProjectTitle,ActionTypeDescription,ActionType,CallYear,PIC,Accreditation Type,NameInLatinCharacterSet,OrganisationType,City,CountryRegionDescription,DurationInMonths,ProjectStartDate,ProjectEndDate,Initial awarded grant(IAG),Topic Code,Topic Name,Horizontal Priority Name,City_korjattu
2023-1-FI01-KA220-SCH-000157214,A Vision of Peace: Peace Education for Upper Secondary Education,Cooperation partnerships in school education,KA220-SCH,2023,E10058334,,"Rauhankasvatusinstituutti ry, Institutet för Fredsfostran rf",Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,24,1.9.2023,31.8.2025,120000,TOPIC-170_TOPIC-83_TOPIC-97,"Creating new, innovative or joint curricula or courses_European identity, citizenship and values_New learning and teaching methods and approaches","Common values, civic engagement and participation",
2023-1-FI01-KA220-SCH-000155806,CIRCUS as means to learn positive,Cooperation partnerships in school education,KA220-SCH,2023,E10136562,,Keskustan alakoulu,School/Institute/Educational centre – General education (basic education),Harjavalta,Satakunta,24,1.9.2023,31.8.2025,120000,TOPIC-161_TOPIC-190_TOPIC-61,"Creativity, arts and culture_Digital content, technologies and practices_Green skills","Common values, civic engagement and participation",
2023-1-FI01-KA220-SCH-000153322,Creative Early Education supported by Technology for Cultural Heritage,Cooperation partnerships in school education,KA220-SCH,2023,E10055066,,Suomen Kulttuuriperintökasvatuksen seura ry,Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,24,31.12.2023,30.12.2025,250000,TOPIC-101_TOPIC-161_TOPIC-190,"Early childhood education and care_Creativity, arts and culture_Digital content, technologies and practices",#PUUTTUU!,
2023-1-FI01-KA220-SCH-000153185,The Green Deal in VR: A Virtual Reality Approach to the European Sustainability Values and Goals of 2050 through Collaborative Learning in Upper-Secondary Education,Cooperation partnerships in school education,KA220-SCH,2023,E10259181,,Otaniemen lukio,School/Institute/Educational centre – General education (secondary level),Espoo,Helsinki-Uusimaa,36,1.9.2023,31.8.2026,400000,TOPIC-13_TOPIC-190_TOPIC-97,"Environment and climate change_Digital content, technologies and practices_New learning and teaching methods and approaches","Addressing digital transformation through development of digital readiness, resilience and capacity",
2023-1-FI01-KA220-SCH-000153018,Water For Life ,Cooperation partnerships in school education,KA220-SCH,2023,E10004151,,Ahmon koulu,School/Institute/Educational centre – General education (basic education),Siilinjärvi,Pohjois-Savo,36,1.9.2023,31.8.2026,400000,TOPIC-11_TOPIC-170_TOPIC-190,"Energy and resources_Creating new, innovative or joint curricula or courses_Digital content, technologies and practices","Common values, civic engagement and participation",
2023-1-FI01-KA220-SCH-000152645,Reading Beyond Borders: A European Book Adventure,Cooperation partnerships in school education,KA220-SCH,2023,E10114479,,Kuopion taidelukio Lumit,School/Institute/Educational centre – General education (secondary level),Kuopio,Pohjois-Savo,28,1.9.2023,31.12.2025,120000,TOPIC-159_TOPIC-162_TOPIC-97,Awareness about the European Union_Media literacy and tackling disinformation _New learning and teaching methods and approaches,"Addressing digital transformation through development of digital readiness, resilience and capacity",
2023-1-FI01-KA220-SCH-000151630,Sustainable Alternative Future Essentials,Cooperation partnerships in school education,KA220-SCH,2023,E10173338,,Sursik skola,School/Institute/Educational centre – General education (basic education),Pedersöre,Pohjanmaa,24,1.9.2023,31.8.2025,250000,TOPIC-131_TOPIC-41_TOPIC-61,Key competences development_Entrepreneurial learning - entrepreneurship education_Green skills,"Addressing digital transformation through development of digital readiness, resilience and capacity",
2023-1-FI01-KA220-HED-000166837,Strengthening DEI in Education and SME Management,Cooperation partnerships in higher education,KA220-HED,2023,E10208685,,VAASAN YLIOPISTO,Higher education institution (tertiary level),Vaasa,Pohjanmaa,36,15.12.2023,14.12.2026,400000,TOPIC-165_TOPIC-190_TOPIC-72,"Inclusion, promoting equality and non-discrimination_Digital content, technologies and practices_Cooperation between educational institutions and business","Addressing digital transformation through development of digital readiness, resilience and capacity",
2023-1-FI01-KA220-HED-000166447,Virtual Children's Hospital for Learning Pediatric Nursing,Cooperation partnerships in higher education,KA220-HED,2023,E10012492,,TURUN AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Turku,Varsinais-Suomi,36,1.10.2023,30.9.2026,400000,TOPIC-170_TOPIC-190,"Creating new, innovative or joint curricula or courses_Digital content, technologies and practices",#PUUTTUU!,
2023-1-FI01-KA220-HED-000165206,Cooperation in Education Knowledge Gateway,Cooperation partnerships in higher education,KA220-HED,2023,E10190230,,JYVÄSKYLÄN AMMATTIKORKEAKOULU,Higher education institution (tertiary level),Jyväskylä,Keski-Suomi,18,1.9.2023,28.2.2025,250000,TOPIC-12_TOPIC-171_TOPIC-72,"Enterprise, industry, SMEs and entrepreneurship_Overcoming skills mismatch and addressing the needs of the labour market_Cooperation between educational institutions and business",#PUUTTUU!,
